DragonDragon,Strategy,35000,92
EmpireEmpire,Action,37000,1
LegendsDragon,Simulation,19000,32
WarriorQuest,Strategy,22000,90
LegendsLegends,Adventure,61000,10
LegendsLegends,Adventure,28000,48
QuestDragon,Action,55000,65
GalaxyQuest,Strategy,19000,51
DragonQuest,Adventure,56000,57
LegendsEmpire,Action,14000,51
DragonQuest,Strategy,17000,72
WarriorEmpire,Simulation,21000,65
EmpireQuest,Simulation,55000,92
QuestWarrior,Adventure,22000,85
LegendsGalaxy,RPG,46000,77
EmpireDragon,Action,48000,64
EmpireGalaxy,RPG,53000,65
LegendsQuest,Strategy,37000,6
LegendsLegends,Simulation,18000,53
QuestLegends,Strategy,48000,7
GalaxyGalaxy,RPG,55000,3
LegendsDragon,Simulation,19000,94
DragonQuest,RPG,59000,19
GalaxyWarrior,Adventure,1000,94
LegendsEmpire,Strategy,63000,79
DragonWarrior,Adventure,6000,33
QuestDragon,Simulation,23000,1
LegendsWarrior,Adventure,3000,82
DragonWarrior,Adventure,4000,29
GalaxyGalaxy,RPG,54000,70
WarriorWarrior,Action,69000,37
GalaxyLegends,RPG,69000,76
GalaxyWarrior,Strategy,40000,95
LegendsEmpire,Strategy,55000,22
WarriorQuest,Strategy,12000,64
GalaxyGalaxy,RPG,3000,19
QuestQuest,Adventure,41000,0
LegendsWarrior,Simulation,5000,28
GalaxyLegends,RPG,40000,30
EmpireEmpire,Strategy,1000,33
GalaxyEmpire,RPG,17000,94
WarriorQuest,Adventure,32000,88
DragonEmpire,Action,1000,18
LegendsGalaxy,Strategy,24000,77
LegendsQuest,RPG,23000,12
WarriorEmpire,Strategy,28000,78
GalaxyLegends,Strategy,18000,68
EmpireWarrior,RPG,9000,54
LegendsGalaxy,RPG,68000,84
DragonEmpire,RPG,64000,58
EmpireGalaxy,Strategy,54000,60
LegendsLegends,Adventure,42000,62
EmpireGalaxy,RPG,42000,48
QuestQuest,Simulation,42000,54
GalaxyGalaxy,RPG,52000,59
WarriorWarrior,Adventure,50000,56
QuestLegends,RPG,64000,71
EmpireGalaxy,Adventure,43000,41
DragonQuest,Action,38000,62
EmpireQuest,RPG,22000,5
LegendsLegends,RPG,61000,12
DragonQuest,Adventure,25000,38
WarriorWarrior,Simulation,12000,39
EmpireDragon,Strategy,26000,89
QuestQuest,Adventure,26000,29
DragonEmpire,Strategy,21000,10
QuestLegends,RPG,63000,74
DragonLegends,Strategy,51000,5
DragonEmpire,Adventure,35000,37
QuestDragon,RPG,61000,52
LegendsEmpire,Action,17000,85
GalaxyWarrior,Action,32000,50
WarriorGalaxy,Strategy,65000,98
LegendsEmpire,Strategy,45000,59
GalaxyGalaxy,Strategy,34000,34
DragonGalaxy,Action,27000,60
QuestGalaxy,Simulation,21000,10
QuestEmpire,Simulation,3000,9
GalaxyEmpire,Simulation,58000,61
QuestLegends,RPG,8000,27
EmpireLegends,RPG,3000,56
LegendsDragon,Action,5000,53
QuestLegends,Strategy,64000,46
GalaxyWarrior,RPG,66000,28
QuestQuest,Action,56000,84
GalaxyGalaxy,Simulation,3000,41
QuestGalaxy,RPG,11000,45
LegendsQuest,Strategy,20000,44
LegendsGalaxy,Action,32000,50
LegendsWarrior,Simulation,28000,40
DragonDragon,Adventure,6000,13
LegendsGalaxy,Strategy,9000,79
LegendsDragon,RPG,60000,1
LegendsGalaxy,RPG,14000,64
GalaxyDragon,Adventure,2000,40
DragonGalaxy,Simulation,68000,0
GalaxyDragon,Strategy,37000,89
GalaxyQuest,Strategy,25000,96
DragonEmpire,Strategy,60000,19
EmpireQuest,Strategy,46000,63
WarriorQuest,Action,5000,40
WarriorLegends,Action,66000,46
WarriorEmpire,Action,35000,95
GalaxyDragon,Strategy,67000,9
DragonQuest,Simulation,30000,95
LegendsLegends,Adventure,51000,32
WarriorGalaxy,Simulation,25000,77
QuestGalaxy,Strategy,2000,73
DragonQuest,Strategy,69000,91
WarriorLegends,Strategy,14000,42
LegendsGalaxy,Strategy,62000,80
EmpireLegends,Action,43000,66
